"name","image","url","blurb"
"Shakedown Rally","https://i.imgur.com/UmERxOx.png","https://nothke.itch.io/shakedown","(distant) rallllyyyyy~"
"The Drifter","https://i.imgur.com/FDqG18I.png","https://store.steampowered.com/app/1170570/The_Drifter/","Love me some Flashback-esque games."
"Shotgunkatana","https://i.imgur.com/O3kZOnf.png","https://x.com/CeluloiDedede/status/1764320011533852712/","Name says it all."
"RKGK / Rakugaki","https://i.imgur.com/YWNzj2F.jpeg","https://store.steampowered.com/app/2146570/RKGK__Rakugaki/","Solid look."
"Silly Polly Beast","https://i.imgur.com/skOx78Q.jpeg","https://store.steampowered.com/app/1598780/Silly_Polly_Beast/",""
"Spectacular Sparky","https://i.imgur.com/AbWngMi.jpeg","https://store.steampowered.com/app/1300100/Spectacular_Sparky/","I love Treasure."
"Athenian Rhapsody","https://i.imgur.com/oSqCzBW.jpeg","https://store.steampowered.com/app/1671720/Athenian_Rhapsody/",""
"@NickWestDev","https://i.imgur.com/nYvqI4V.png","https://twitter.com/NickWestDev/status/1791850334186258801",""
"Pampas & Selene: The Maze of Demons","https://i.imgur.com/51cwbSa.jpeg","https://store.steampowered.com/app/1966220/Pampas__Selene_The_Maze_of_Demons/","I love La-Mulana."
"Enter the Chronosphere","https://i.imgur.com/ObOFzzK.jpeg","https://store.steampowered.com/app/1969810/Enter_the_Chronosphere/",""
"Lorelei and the Laser Eyes","https://i.imgur.com/iyVn9UJ.jpeg","https://store.steampowered.com/app/2008920/Lorelei_and_the_Laser_Eyes/","WTF do you mean Suda51 didn't make this?"
"DOWNSOUTH","https://i.imgur.com/q8Mqv4j.png","https://twitter.com/troopsushi/status/1627784625681735700","Schmovement with Toejam & Earl animations."
"Roskur's Run","https://i.imgur.com/pqcPCLD.jpeg","https://store.steampowered.com/app/1058030/Roskurs_Run/","Schmovement 2: Schmovement Harder"
"Star Fetchers: Escape from Pork Belly","https://i.imgur.com/U2Uz4Ig.jpeg","https://twitter.com/StarFetchers/status/1790422073136816163","Excellent vibe."
"Super Mario and the Rainbow Stars","https://i.imgur.com/ssgxH5A.png","https://twitter.com/Super_Starshi/status/1790059786488225931","Looks great."
"Project Tempest","https://i.imgur.com/x40ySiK.png","https://twitter.com/poorlocke/status/1790063678529622508",""
"Running Voltgun","https://i.imgur.com/2YvXZSU.png","https://twitter.com/sinclairstrange/status/1789994602679734724","I love Treasure."
"Mina the Hollower","https://i.imgur.com/KcSUAlu.gif","https://store.steampowered.com/app/1875580/Mina_the_Hollower/","Hey, remember Oracle of Ages?"
"The WereCleaner","https://i.imgur.com/4rQ7Ehu.jpeg","https://store.steampowered.com/app/2795000/The_WereCleaner/","Goofy fun."
"Rooftops & Alleys: The Parkour Game","https://i.imgur.com/rRMubny.jpeg","https://store.steampowered.com/app/2703850/Rooftops__Alleys_The_Parkour_Game/",""
"Who's Lila?","https://i.imgur.com/GHDoRfr.jpeg","https://store.steampowered.com/app/1697700/Whos_Lila/","Neat way of interacting."
"Sugar Isogu","https://i.imgur.com/T8ltphS.jpeg","https://store.steampowered.com/app/1752990/Sugar_Isogu/","Love me some good kicks."
"Rogue Voltage","https://i.imgur.com/xHpKBnR.jpeg","https://store.steampowered.com/app/1494560/Rogue_Voltage/","Tentatively interested. Love to see systems go."
"Path of Achra","https://i.imgur.com/c9i7hz8.jpeg","https://store.steampowered.com/app/2128270/Path_of_Achra/","The ROGUE itch is a tough one to scratch but this one does pretty well."
"Heading Out","https://i.imgur.com/SYwuwo8.jpeg","https://store.steampowered.com/app/1640630/Heading_Out/","Love the style."
"@RegalPigeon","https://i.imgur.com/pAX9Vdy.png","https://twitter.com/RegalPigeon/status/1787098418264862835","I'm a sucker for Battle Network anything."
"Screenbound","https://i.imgur.com/ssnHFwj.jpeg","https://store.steampowered.com/app/2805070/Screenbound/","Very cool concept."
"DREDGE","https://i.imgur.com/IxKDOYW.jpeg","https://store.steampowered.com/app/1562430/DREDGE/","Peep the horrors."
"Cryptmaster","https://i.imgur.com/PUAUwZ6.jpeg","https://store.steampowered.com/app/1885110/Cryptmaster/","Mavis Beacon Teaches The True Names Of Dungeon Dwellers"
"Papers, Please","https://i.imgur.com/B7WtOWx.jpeg","https://store.steampowered.com/app/239030/Papers_Please/","GLORY TO ARSTOTZKA."
"4D Golf","https://i.imgur.com/KzZ2i4l.jpeg","https://store.steampowered.com/app/2147950/4D_Golf/",""
"Bye Sweet Carole","https://i.imgur.com/bAr3oCQ.jpeg","https://store.steampowered.com/app/2428980/Bye_Sweet_Carole/","Disney-style animation. Seems neat."
"Surmount: A Mountain Climbing Adventure","https://i.imgur.com/CVN2o9Q.jpeg","https://store.steampowered.com/app/1675000/Surmount_A_Mountain_Climbing_Adventure/",""
"All You Need is Help","https://i.imgur.com/qUCz7AT.png","https://twitter.com/PixelJunkNews/status/1785006270921236954","Terrible Tetris."
"@xewlupus","https://i.imgur.com/Y2YXYDM.png","https://twitter.com/xewlupus/status/1777149741731865076",""
"@Bandygrass","https://i.imgur.com/kyV1YIH.png","https://twitter.com/Bandygrass/status/1784662893600108578",""
"Ghost Hand","https://i.imgur.com/SdlMtZo.jpeg","https://store.steampowered.com/app/2563880/Ghost_Hand/",""
"Wind Runners","https://i.imgur.com/z1cPRsL.jpeg","https://store.steampowered.com/app/1101370/Wind_Runners/",""
"RADIOSOL","https://i.imgur.com/hcT8KVc.jpeg","https://store.steampowered.com/app/2934330/RADIOSOL/",""
"Citrus Shores","https://i.imgur.com/SGKD2GJ.png","https://twitter.com/Cornf_Blue/status/1784256540590952728",""
"Back to the Dawn","https://i.imgur.com/JrO99Iu.jpeg","https://store.steampowered.com/app/1735700/Back_to_the_Dawn/",""
"The Plucky Squire","https://i.imgur.com/alAhooD.png","https://twitter.com/apossf/status/1782769129532850182",""
"ESCHATOS","https://i.imgur.com/iK6wrAx.jpeg","https://store.steampowered.com/app/378770/ESCHATOS/",""
"SIGNALIS","https://i.imgur.com/a0BRGN8.jpeg","https://store.steampowered.com/app/1262350/SIGNALIS/","Looks great."
"WORLD OF HORROR","https://i.imgur.com/qMbyLEv.jpeg","https://store.steampowered.com/app/913740/WORLD_OF_HORROR/","Love me some Call of Cthulu."
"Momodora: Moonlit Farewell","https://i.imgur.com/4QKG59Q.jpeg","https://store.steampowered.com/app/1747760/Momodora_Moonlit_Farewell/",""
"Rusted Moss","https://i.imgur.com/b4DBWRu.jpeg","https://store.steampowered.com/app/1772830/Rusted_Moss/",""
"GNOSIA","https://i.imgur.com/ICMUvQ6.jpeg","https://store.steampowered.com/app/1608290/GNOSIA/","Among Us with more flair."
